anio,mes,departamento,score_m4,es_mes_cosecha,percentil_historico
2015,8,Risaralda,3.7172,0,55.6
2015,9,Risaralda,3.5657,0,50.0
2015,10,Risaralda,1.7545,1,38.9
2015,11,Risaralda,1.1369,1,50.0
2015,12,Risaralda,-1.4413,1,38.9
2016,1,Risaralda,9.0499,0,83.3
2016,2,Risaralda,12.7984,0,72.2
2016,3,Risaralda,10.9857,0,77.8
2016,4,Risaralda,1.9475,1,44.4
2016,5,Risaralda,3.2238,1,50.0
2016,6,Risaralda,3.8437,1,50.0
2016,7,Risaralda,8.9108,0,83.3
2016,8,Risaralda,7.5167,0,77.8
2016,9,Risaralda,3.9411,0,55.6
2016,10,Risaralda,5.485,1,50.0
2016,11,Risaralda,2.2918,1,55.6
2016,12,Risaralda,4.7439,1,55.6
2017,1,Risaralda,10.8115,0,94.4
2017,2,Risaralda,14.9586,0,83.3
2017,3,Risaralda,5.0515,0,50.0
2017,4,Risaralda,6.2699,1,61.1
2017,5,Risaralda,3.4744,1,55.6
2017,6,Risaralda,4.485,1,55.6
2017,7,Risaralda,9.2903,0,88.9
2017,8,Risaralda,9.8235,0,83.3
2017,9,Risaralda,8.5002,0,66.7
2017,10,Risaralda,9.1293,1,77.8
2017,11,Risaralda,9.6825,1,83.3
2017,12,Risaralda,5.4872,1,66.7
2018,1,Risaralda,10.4932,0,88.9
2018,2,Risaralda,10.7836,0,50.0
2018,3,Risaralda,10.6425,0,72.2
2018,4,Risaralda,7.7739,1,72.2
2018,5,Risaralda,9.293,1,83.3
2018,6,Risaralda,6.3537,1,66.7
2018,7,Risaralda,0.9592,0,50.0
2018,8,Risaralda,6.5742,0,72.2
2018,9,Risaralda,11.3678,0,88.9
2018,10,Risaralda,8.2234,1,66.7
2018,11,Risaralda,9.0118,1,77.8
2018,12,Risaralda,5.047,1,61.1
2019,1,Risaralda,6.9668,0,61.1
2019,2,Risaralda,11.285,0,55.6
2019,3,Risaralda,13.2305,0,100.0
2019,4,Risaralda,9.1457,1,77.8
2019,5,Risaralda,10.5921,1,88.9
2019,6,Risaralda,11.2822,1,88.9
2019,7,Risaralda,5.8871,0,72.2
2019,8,Risaralda,6.005,0,66.7
2019,9,Risaralda,9.6422,0,77.8
2019,10,Risaralda,7.8928,1,61.1
2019,11,Risaralda,6.3913,1,72.2
2019,12,Risaralda,6.934,1,72.2
2020,1,Risaralda,7.5789,0,66.7
2020,2,Risaralda,12.3527,0,66.7
2020,3,Risaralda,10.4008,0,61.1
2020,4,Risaralda,11.2763,1,83.3
2020,5,Risaralda,9.2722,1,77.8
2020,6,Risaralda,7.109,1,77.8
2020,7,Risaralda,3.766,0,61.1
2020,8,Risaralda,4.9979,0,61.1
2020,9,Risaralda,4.4948,0,61.1
2020,10,Risaralda,3.6801,1,44.4
2020,11,Risaralda,3.7557,1,61.1
2020,12,Risaralda,7.7242,1,77.8
2021,1,Risaralda,-16.4375,0,5.6
2021,2,Risaralda,-5.0861,0,27.8
2021,3,Risaralda,-9.1382,0,16.7
2021,4,Risaralda,-8.678,1,27.8
2021,5,Risaralda,-8.5432,1,27.8
2021,6,Risaralda,-15.0745,1,16.7
2021,7,Risaralda,-14.5008,0,5.6
2021,8,Risaralda,-17.1391,0,5.6
2021,9,Risaralda,-13.9188,0,5.6
2021,10,Risaralda,-6.6583,1,27.8
2021,11,Risaralda,-6.5443,1,27.8
2021,12,Risaralda,9.6341,1,88.9
2022,1,Risaralda,-12.0896,0,11.1
2022,2,Risaralda,-1.0797,0,33.3
2022,3,Risaralda,1.2088,0,38.9
2022,4,Risaralda,-10.6547,1,22.2
2022,5,Risaralda,6.489,1,61.1
2022,6,Risaralda,-8.3684,1,27.8
2022,7,Risaralda,-12.6983,0,16.7
2022,8,Risaralda,-11.3718,0,16.7
2022,9,Risaralda,-1.5524,0,38.9
2022,10,Risaralda,11.868,1,88.9
2022,11,Risaralda,-1.9878,1,38.9
2022,12,Risaralda,-9.5421,1,22.2
2023,1,Risaralda,-8.0051,0,33.3
2023,2,Risaralda,-20.9568,0,5.6
2023,3,Risaralda,-9.7943,0,11.1
2023,4,Risaralda,-8.6314,1,33.3
2023,5,Risaralda,-6.4495,1,33.3
2023,6,Risaralda,6.954,1,72.2
2023,7,Risaralda,8.1192,0,77.8
2023,8,Risaralda,12.5917,0,88.9
2023,9,Risaralda,10.8062,0,83.3
2023,10,Risaralda,8.8756,1,72.2
2023,11,Risaralda,-2.4656,1,33.3
2023,12,Risaralda,3.0848,1,50.0
2024,1,Risaralda,8.4958,0,77.8
2024,2,Risaralda,12.8825,0,77.8
2024,3,Risaralda,11.5184,0,88.9
2024,4,Risaralda,13.0933,1,88.9
2024,5,Risaralda,7.2329,1,66.7
2024,6,Risaralda,8.4119,1,83.3
2024,7,Risaralda,13.9396,0,100.0
2024,8,Risaralda,14.2997,0,100.0
2024,9,Risaralda,9.0517,0,72.2
2024,10,Risaralda,11.7002,1,83.3
2024,11,Risaralda,21.5378,1,94.4
2024,12,Risaralda,-4.8953,1,27.8
2025,1,Risaralda,,0,
2025,2,Risaralda,,0,
2025,3,Risaralda,,0,
2025,4,Risaralda,,1,
2025,5,Risaralda,,1,
2025,6,Risaralda,,1,
2025,7,Risaralda,,0,
2025,8,Risaralda,,0,
2025,9,Risaralda,,0,
2025,10,Risaralda,,1,
2025,11,Risaralda,,1,
2025,12,Risaralda,,1,
2026,1,Risaralda,,0,
2026,2,Risaralda,,0,
